"id","birth_year","eye_color","films","gender","hair_color","height","homeworld","mass","name","skin_color","species","starships","vehicles"
21,"82BBY",yellow,"The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,grey,"170",Naboo,"75",Palpatine,pale,"","",""
22,"31.5BBY",brown,"The Empire Strikes Back, Return of the Jedi, Attack of the Clones",male,black,"183",Kamino,"78.2",Boba Fett,fair,"",Slave 1,""
23,"15BBY",red,The Empire Strikes Back,none,none,"200",unknown,"140",IG-88,metal,Droid,"",""
24,"53BBY",red,The Empire Strikes Back,male,none,"190",Trandosha,"113",Bossk,green,Trandoshan,"",""
25,"31BBY",brown,"The Empire Strikes Back, Return of the Jedi",male,black,"177",Socorro,"79",Lando Calrissian,dark,"",Millennium Falcon,""
26,"37BBY",blue,The Empire Strikes Back,male,none,"175",Bespin,"79",Lobot,light,"","",""
27,"41BBY",orange,Return of the Jedi,male,none,"180",Mon Cala,"83",Ackbar,brown mottle,Mon Calamari,"",""
28,"48BBY",blue,Return of the Jedi,female,auburn,"150",Chandrila,unknown,Mon Mothma,fair,"","",""
29,unknown,brown,Return of the Jedi,male,brown,unknown,unknown,unknown,Arvel Crynyd,fair,"",A-wing,""
30,"8BBY",brown,Return of the Jedi,male,brown,"88",Endor,"20",Wicket Systri Warrick,brown,Ewok,"",""
31,unknown,black,Return of the Jedi,male,none,"160",Sullust,"68",Nien Nunb,grey,Sullustan,Millennium Falcon,""
32,"92BBY",blue,The Phantom Menace,male,brown,"193",unknown,"89",Qui-Gon Jinn,fair,"","",Tribubble bongo
33,unknown,red,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,none,"191",Cato Neimoidia,"90",Nute Gunray,mottled green,Neimodian,"",""
34,"91BBY",blue,The Phantom Menace,male,blond,"170",Coruscant,unknown,Finis Valorum,fair,"","",""
35,"46BBY",brown,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",female,brown,"185",Naboo,"45",Padmé Amidala,light,"","Naboo fighter, H-type Nubian yacht, Naboo star skiff",""
36,"52BBY",orange,"The Phantom Menace, Attack of the Clones",male,none,"196",Naboo,"66",Jar Jar Binks,orange,Gungan,"",""
37,unknown,orange,The Phantom Menace,male,none,"224",Naboo,"82",Roos Tarpals,grey,Gungan,"",""
38,unknown,orange,The Phantom Menace,male,none,"206",Naboo,unknown,Rugor Nass,green,Gungan,"",""
39,unknown,blue,The Phantom Menace,male,brown,"183",Naboo,unknown,Ric Olié,fair,"",Naboo Royal Starship,""
40,unknown,yellow,"The Phantom Menace, Attack of the Clones",male,black,"137",Toydaria,unknown,Watto,"blue, grey",Toydarian,"",""
41,unknown,orange,The Phantom Menace,male,none,"112",Malastare,"40",Sebulba,"grey, red",Dug,"",""
42,"62BBY",brown,The Phantom Menace,male,black,"183",Naboo,unknown,Quarsh Panaka,dark,"","",""
43,"72BBY",brown,"The Phantom Menace, Attack of the Clones",female,black,"163",Tatooine,unknown,Shmi Skywalker,fair,"","",""
44,"54BBY",yellow,The Phantom Menace,male,none,"175",Dathomir,"80",Darth Maul,red,Zabrak,Scimitar,Sith speeder
45,unknown,pink,Return of the Jedi,male,none,"180",Ryloth,unknown,Bib Fortuna,pale,Twi'lek,"",""
46,"48BBY",hazel,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",female,none,"178",Ryloth,"55",Ayla Secura,blue,Twi'lek,"",""
47,unknown,unknown,The Phantom Menace,male,none,"79",Aleen Minor,"15",Ratts Tyerel,"grey, blue",Aleena,"",""
48,unknown,yellow,The Phantom Menace,male,none,"94",Vulpter,"45",Dud Bolt,"blue, grey",Vulptereen,"",""
49,unknown,black,The Phantom Menace,male,none,"122",Troiken,unknown,Gasgano,"white, blue",Xexto,"",""
50,unknown,orange,The Phantom Menace,male,none,"163",Tund,"65",Ben Quadinaros,"grey, green, yellow",Toong,"",""
51,"72BBY",brown,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,none,"188",Haruun Kal,"84",Mace Windu,dark,"","",""
52,"92BBY",yellow,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,white,"198",Cerea,"82",Ki-Adi-Mundi,pale,Cerean,"",""
53,unknown,black,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,none,"196",Glee Anselm,"87",Kit Fisto,green,Nautolan,"",""
54,unknown,brown,"The Phantom Menace, Revenge of the Sith",male,black,"171",Iridonia,unknown,Eeth Koth,brown,Zabrak,"",""
55,unknown,blue,"The Phantom Menace, Revenge of the Sith",female,none,"184",Coruscant,"50",Adi Gallia,dark,Tholothian,"",""
56,unknown,orange,"The Phantom Menace, Revenge of the Sith",male,none,"188",Iktotch,unknown,Saesee Tiin,pale,Iktotchi,"",""
57,unknown,yellow,The Phantom Menace,male,none,"264",Quermia,unknown,Yarael Poof,white,Quermian,"",""
58,"22BBY",black,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,none,"188",Dorin,"80",Plo Koon,orange,Kel Dor,Jedi starfighter,""
59,unknown,blue,"The Phantom Menace, Attack of the Clones",male,none,"196",Champala,unknown,Mas Amedda,blue,Chagrian,"",""
60,unknown,brown,Attack of the Clones,male,black,"185",Naboo,"85",Gregar Typho,dark,"",Naboo fighter,""
61,unknown,brown,Attack of the Clones,female,brown,"157",Naboo,unknown,Cordé,light,"","",""
62,"82BBY",blue,Attack of the Clones,male,brown,"183",Tatooine,unknown,Cliegg Lars,fair,"","",""
63,unknown,yellow,"Attack of the Clones, Revenge of the Sith",male,none,"183",Geonosis,"80",Poggle the Lesser,green,Geonosian,"",""
64,"58BBY",blue,"Attack of the Clones, Revenge of the Sith",female,black,"170",Mirial,"56.2",Luminara Unduli,yellow,Mirialan,"",""
65,"40BBY",blue,Attack of the Clones,female,black,"166",Mirial,"50",Barriss Offee,yellow,Mirialan,"",""
66,unknown,brown,Attack of the Clones,female,brown,"165",Naboo,unknown,Dormé,light,Human,"",""
67,"102BBY",brown,"Attack of the Clones, Revenge of the Sith",male,white,"193",Serenno,"80",Dooku,fair,Human,"",Flitknot speeder
68,"67BBY",brown,"Attack of the Clones, Revenge of the Sith",male,black,"191",Alderaan,unknown,Bail Prestor Organa,tan,Human,"",""
69,"66BBY",brown,Attack of the Clones,male,black,"183",Concord Dawn,"79",Jango Fett,tan,"","",""
70,unknown,yellow,Attack of the Clones,female,blonde,"168",Zolan,"55",Zam Wesell,"fair, green, yellow",Clawdite,"",Koro-2 Exodrive airspeeder
71,unknown,yellow,Attack of the Clones,male,none,"198",Ojom,"102",Dexter Jettster,brown,Besalisk,"",""
72,unknown,black,Attack of the Clones,male,none,"229",Kamino,"88",Lama Su,grey,Kaminoan,"",""
73,unknown,black,Attack of the Clones,female,none,"213",Kamino,unknown,Taun We,grey,Kaminoan,"",""
74,unknown,blue,Attack of the Clones,female,white,"167",Coruscant,unknown,Jocasta Nu,fair,Human,"",""
75,unknown,"red, blue","Attack of the Clones, Revenge of the Sith",female,none,"96",unknown,unknown,R4-P17,"silver, red","","",""
76,unknown,unknown,Attack of the Clones,male,none,"193",Skako,"48",Wat Tambor,"green, grey",Skakoan,"",""
77,unknown,gold,Attack of the Clones,male,none,"191",Muunilinst,unknown,San Hill,grey,Muun,"",""
78,unknown,black,"Attack of the Clones, Revenge of the Sith",female,none,"178",Shili,"57",Shaak Ti,"red, blue, white",Togruta,"",""
79,unknown,"green, yellow",Revenge of the Sith,male,none,"216",Kalee,"159",Grievous,"brown, white",Kaleesh,Belbullab-22 starfighter,Tsmeu-6 personal wheel bike
80,unknown,blue,Revenge of the Sith,male,brown,"234",Kashyyyk,"136",Tarfful,brown,Wookie,"",""
81,unknown,brown,"A New Hope, Revenge of the Sith",male,brown,"188",Alderaan,"79",Raymus Antilles,light,"","",""
82,unknown,white,"Attack of the Clones, Revenge of the Sith",female,none,"178",Umbara,"48",Sly Moore,pale,"","",""
83,unknown,black,Revenge of the Sith,male,none,"206",Utapau,"80",Tion Medon,grey,Pau'an,"",""
84,,,,,,,,,,,,,
85,,,,,,,,,,,,,
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
93,,,,,,,,,,,,,
94,,,,,,,,,,,,,
95,,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
98,,,,,,,,,,,,,
99,,,,,,,,,,,,,
100,,,,,,,,,,,,,
